CCAA Codigo ISO,Fecha,Casos ,Hospitalizados,UCI,Fallecidos,Recuperados
MD,27/03/20,21520,14211,1404,2757,6326
ME,27/03/20,45,22,2,1,0
MC,27/03/20,802,231,58,17,12
NC,27/03/20,1829,827,84,70,98
PV,27/03/20,5136,2612,176,241,1023
RI,27/03/20,1436,458,43,65,364
,,72248,40630,4575,5745,12285
AN,28/03/20,4682,2294,201,207,148
AR,28/03/20,1858,835,124,104,8
AS,28/03/20,1088,466,57,41,76
IB,28/03/20,958,345,71,29,82
CN,28/03/20,1125,425,78,39,30
CB,28/03/20,1023,449,40,26,24
CM,28/03/20,5246,3018,299,539,236
CL,28/03/20,5414,2408,278,380,752
CT,28/03/20,15026,10688,1391,1226,3455
CE,28/03/20,21,2,2,1,0
VC,28/03/20,4784,1874,309,267,161
EX,28/03/20,1456,313,41,100,51
GA,28/03/20,3139,1043,123,60,153
MD,28/03/20,22677,14454,1429,3082,7491
ME,28/03/20,48,24,2,1,0
MC,28/03/20,872,260,58,20,16
NC,28/03/20,2011,896,90,84,125
PV,28/03/20,5740,3106,271,265,1503
RI,28/03/20,1629,497,43,68,397
,,78797,43397,4907,6539,14708
AN,29/03/20,5405,2671,216,236,155
AR,29/03/20,2078,1094,156,106,174
AS,29/03/20,1158,479,60,49,78
IB,29/03/20,1000,353,80,37,100
CN,29/03/20,1204,444,84,40,32
CB,29/03/20,1100,481,46,27,24
CM,29/03/20,5858,3134,302,622,252
CL,29/03/20,5801,2540,307,442,871
CT,29/03/20,16157,11769,1512,1410,4125
CE,29/03/20,25,2,2,1,0
VC,29/03/20,5110,2042,336,310,185
EX,29/03/20,1560,353,43,106,60
GA,29/03/20,3723,1147,134,66,168
MD,29/03/20,24090,14917,1460,3392,8301
ME,29/03/20,51,27,3,1,0
MC,29/03/20,939,265,58,25,17
NC,29/03/20,2146,955,96,102,161
PV,29/03/20,6057,3427,293,297,1646
RI,29/03/20,1733,517,43,71,431
,,85195,46617,5231,7340,16780
AN,30/03/20,5818,2867,235,248,160
AR,30/03/20,2272,1176,165,138,204
AS,30/03/20,1236,529,65,55,90
IB,30/03/20,1069,399,85,42,111
CN,30/03/20,1262,483,94,55,57
